"region";"kvartal";"Prisindeks for brukte boliger"
"Hele landet";"1992K1";18.8
"Hele landet";"1992K2";18.9
"Hele landet";"1992K3";19.0
"Hele landet";"1992K4";18.5
"Hele landet";"1993K1";17.8
"Hele landet";"1993K2";18.7
"Hele landet";"1993K3";19.4
"Hele landet";"1993K4";20.0
"Hele landet";"1994K1";20.6
"Hele landet";"1994K2";21.2
"Hele landet";"1994K3";22.1
"Hele landet";"1994K4";22.0
"Hele landet";"1995K1";22.1
"Hele landet";"1995K2";23.0
"Hele landet";"1995K3";23.4
"Hele landet";"1995K4";23.7
"Hele landet";"1996K1";23.9
"Hele landet";"1996K2";25.0
"Hele landet";"1996K3";25.5
"Hele landet";"1996K4";26.1
"Hele landet";"1997K1";26.5
"Hele landet";"1997K2";28.4
"Hele landet";"1997K3";28.6
"Hele landet";"1997K4";29.0
"Hele landet";"1998K1";30.2
"Hele landet";"1998K2";32.1
"Hele landet";"1998K3";31.8
"Hele landet";"1998K4";30.9
"Hele landet";"1999K1";32.1
"Hele landet";"1999K2";34.7
"Hele landet";"1999K3";35.4
"Hele landet";"1999K4";36.7
"Hele landet";"2000K1";38.9
"Hele landet";"2000K2";41.5
"Hele landet";"2000K3";40.3
"Hele landet";"2000K4";40.3
"Hele landet";"2001K1";41.7
"Hele landet";"2001K2";43.5
"Hele landet";"2001K3";43.5
"Hele landet";"2001K4";43.4
"Hele landet";"2002K1";44.8
"Hele landet";"2002K2";46.4
"Hele landet";"2002K3";44.9
"Hele landet";"2002K4";44.6
"Hele landet";"2003K1";45.6
"Hele landet";"2003K2";45.9
"Hele landet";"2003K3";45.8
"Hele landet";"2003K4";46.4
"Hele landet";"2004K1";49.8
"Hele landet";"2004K2";50.6
"Hele landet";"2004K3";50.7
"Hele landet";"2004K4";51.3
"Hele landet";"2005K1";53.4
"Hele landet";"2005K2";54.9
"Hele landet";"2005K3";55.4
"Hele landet";"2005K4";55.4
"Hele landet";"2006K1";58.9
"Hele landet";"2006K2";61.8
"Hele landet";"2006K3";63.8
"Hele landet";"2006K4";64.6
"Hele landet";"2007K1";68.6
"Hele landet";"2007K2";71.2
"Hele landet";"2007K3";71.1
"Hele landet";"2007K4";69.5
"Hele landet";"2008K1";71.1
"Hele landet";"2008K2";72.0
"Hele landet";"2008K3";69.6
"Hele landet";"2008K4";64.7
