Month of Dato;Indeks;Sesongjustert
01.01.2003;100,00;99,57
01.02.2003;100,82;99,62
01.03.2003;101,08;99,58
01.04.2003;100,78;99,54
01.05.2003;99,75;99,23
01.06.2003;99,67;100,21
01.07.2003;100,10;100,95
01.08.2003;102,02;100,85
01.09.2003;103,13;103,29
01.10.2003;103,79;104,34
01.11.2003;104,56;106,01
01.12.2003;104,81;107,30
01.01.2004;108,07;107,66
01.02.2004;110,00;108,91
01.03.2004;111,08;109,63
01.04.2004;111,82;110,63
01.05.2004;111,86;111,17
01.06.2004;111,85;112,25
01.07.2004;112,60;113,46
01.08.2004;115,08;113,84
01.09.2004;114,68;114,71
01.10.2004;115,03;115,58
01.11.2004;115,47;117,15
01.12.2004;115,72;118,44
01.01.2005;118,69;118,33
01.02.2005;119,83;118,88
01.03.2005;121,23;119,88
01.04.2005;121,49;120,29
01.05.2005;121,99;120,96
01.06.2005;121,24;121,33
01.07.2005;121,92;122,75
01.08.2005;125,32;123,79
01.09.2005;124,92;124,76
01.10.2005;125,85;126,53
01.11.2005;125,62;127,74
01.12.2005;126,05;129,13
01.01.2006;130,16;130,05
01.02.2006;131,90;131,15
01.03.2006;133,99;132,78
01.04.2006;135,56;134,23
01.05.2006;138,09;136,60
01.06.2006;138,91;138,45
01.07.2006;138,87;139,57
01.08.2006;143,64;141,69
01.09.2006;145,18;144,80
01.10.2006;145,67;146,66
01.11.2006;145,47;148,16
01.12.2006;146,59;150,24
01.01.2007;152,33;152,63
01.02.2007;154,69;154,05
01.03.2007;155,72;154,57
01.04.2007;157,21;155,54
01.05.2007;157,72;155,89
01.06.2007;157,13;156,19
01.07.2007;157,42;157,84
01.08.2007;159,46;157,04
01.09.2007;156,93;156,58
01.10.2007;155,10;156,43
01.11.2007;153,67;156,72
01.12.2007;152,88;157,00
01.01.2008;155,80;156,58
01.02.2008;156,70;156,14
01.03.2008;157,61;156,44
01.04.2008;158,11;156,08
01.05.2008;157,52;155,46
01.06.2008;155,83;154,51
01.07.2008;153,04;153,24
01.08.2008;155,09;152,56
01.09.2008;152,38;152,14
01.10.2008;146,53;148,00
01.11.2008;142,09;145,25
01.12.2008;140,56;145,09
01.01.2009;145,66;146,65
01.02.2009;149,13;148,49
01.03.2009;150,80;149,51
01.04.2009;153,21;150,99
01.05.2009;154,53;152,33
01.06.2009;156,04;154,68
01.07.2009;156,58;156,76
01.08.2009;160,32;157,95
01.09.2009;159,42;159,40
01.10.2009;159,95;161,28
01.11.2009;159,37;162,38
01.12.2009;158,88;163,55
01.01.2010;163,07;163,91
01.02.2010;164,77;164,17
01.03.2010;165,66;164,24
01.04.2010;167,65;165,37
01.05.2010;168,37;165,99
01.06.2010;168,23;167,10
01.07.2010;167,12;167,52
01.08.2010;170,57;168,44
01.09.2010;170,32;170,39
01.10.2010;171,05;172,26
01.11.2010;171,51;174,39
01.12.2010;170,15;174,97
01.01.2011;176,26;176,77
01.02.2011;178,73;178,09
01.03.2011;180,98;179,42
01.04.2011;181,94;179,65
01.05.2011;184,13;181,55
01.06.2011;182,72;181,92
01.07.2011;182,35;182,98
01.08.2011;185,59;183,42
01.09.2011;185,70;185,73
01.10.2011;186,05;187,33
01.11.2011;185,68;188,61
01.12.2011;184,22;189,19
01.01.2012;189,42;189,70
01.02.2012;190,70;190,16
01.03.2012;193,50;191,83
01.04.2012;195,31;192,84
01.05.2012;196,29;193,54
01.06.2012;195,14;194,47
01.07.2012;195,91;196,57
01.08.2012;199,97;197,63
01.09.2012;198,81;198,74
01.10.2012;198,62;200,18
01.11.2012;198,61;201,79
01.12.2012;198,29;203,55
01.01.2013;204,69;204,92
01.02.2013;206,43;205,80
01.03.2013;206,10;204,43
01.04.2013;208,59;205,89
01.05.2013;209,11;206,24
01.06.2013;206,89;206,07
01.07.2013;204,73;205,41
01.08.2013;208,39;205,86
01.09.2013;205,42;205,24
01.10.2013;202,07;203,87
01.11.2013;199,31;202,72
01.12.2013;196,90;202,49
01.01.2014;202,64;202,90
01.02.2014;204,17;203,58
01.03.2014;206,74;205,07
01.04.2014;209,15;206,17
01.05.2014;210,24;207,28
01.06.2014;209,27;208,25
01.07.2014;210,24;210,75
01.08.2014;212,80;210,29
01.09.2014;212,64;212,57
01.10.2014;212,51;214,44
01.11.2014;213,22;216,74
01.12.2014;214,03;219,91
01.01.2015;219,44;219,73
01.02.2015;222,25;221,55
01.03.2015;223,68;222,00
01.04.2015;226,55;223,36
01.05.2015;226,35;223,36
01.06.2015;226,85;225,74
01.07.2015;225,46;225,86
