aar;loenn;vekst;inflasjon;reallonn
1991;186500;5,20;3,50;1,7
1992;193500;3,80;2,30;1,40
1993;200200;3,50;2,30;1,20
1994;206300;3,00;1,40;1,60
1995;213000;3,20;2,50;0,70
1996;222600;4,50;1,20;3,30
1997;235800;5,90;2,60;3,30
1998;252900;7,30;2,20;5,00
1999;263300;4,10;2,30;1,80
2000;277300;5,30;3,10;2,20
2001;290100;4,60;3,00;1,60
2002;309400;6,70;1,30;5,40
2003;319400;3,20;2,50;0,80
2004;330800;3,60;0,40;3,10
2005;342200;3,40;1,60;1,90
2006;358500;4,80;2,30;2,50
2007;379400;5,80;0,80;5,10
2008;402200;6,00;3,80;2,20
2009;415800;3,40;2,10;1,30
2010;432800;4,10;2,50;1,60
2011;449900;4,00;1,20;2,70
2012;465800;3,50;0,80;2,80
2013;482900;3,70;2,10;1,60
2014;497600;3,00;2,10;1,00
2015;511200;2,70;2,20;0,60
2016;519600;1,60;3,50;-1,90
2017;531700;2,30;1,90;0,40
2018;547300;2,90;2,80;0,10
2019;567500;3,70;2,20;1,50
 
